Instance,Custo,Time(s),Custo,Time(s),Custo,Time(s),Custo,Time(s),Custo,Time(s),Custo,Time(s)
kqbf020,120,0.02,120,0.02,120,0.02,120,0.02,120,0.01,120,0.03
kqbf040,316,0.15,316,0.14,316,0.18,316,0.16,316,0.15,316,0.24
kqbf060,491,0.36,491,0.36,491,0.59,491,0.45,491,0.40,491,0.83
kqbf080,803,0.79,787,0.88,803,1.21,803,1.00,803,0.95,803,1.76
kqbf100,1252,2.30,1252,1.91,1252,3.26,1252,2.75,1252,1.95,1252,4.44
kqbf200,4034,29.16,3983,27.06,4034,40.14,4031,33.94,3996,27.59,3999,55.98
kqbf400,11008,452.57,11062,441.54,11010,643.51,11160,526.31,11084,437.47,11021,876.37
